runtime, var  , query , n_s , n_st , timerange
4355.094 , 85.788 , q5 , 1 , 1 , month
9096.46 , 194.507 , q5 , 1 , 2 , month
13669.677 , 356.159 , q5 , 1 , 3 , month
18321.698 , 373.407 , q5 , 1 , 4 , month
22990.018 , 380.656 , q5 , 1 , 5 , month
28120.233 , 650.115 , q5 , 1 , 6 , month
33413.394 , 1023.974 , q5 , 1 , 7 , month
37817.309 , 668.923 , q5 , 1 , 8 , month
42517.857 , 955.521 , q5 , 1 , 9 , month
47628.435 , 1015.267 , q5 , 1 , 10 , month
18940.473 , 223.203 , q5 , 10 , 1 , month
40944.811 , 466.65 , q5 , 10 , 2 , month
62627.294 , 586.72 , q5 , 10 , 3 , month
85372.523 , 931.511 , q5 , 10 , 4 , month
108044.228 , 1166.599 , q5 , 10 , 5 , month
131061.695 , 1472.949 , q5 , 10 , 6 , month
155446.565 , 1522.103 , q5 , 10 , 7 , month
177453.2 , 997.91 , q5 , 10 , 8 , month
199646.506 , 1995.392 , q5 , 10 , 9 , month
226016.177 , 2856.575 , q5 , 10 , 10 , month
35745.261 , 260.507 , q5 , 20 , 1 , month
79302.889 , 666.076 , q5 , 20 , 2 , month
121699.633 , 1117.223 , q5 , 20 , 3 , month
166179.705 , 1864.066 , q5 , 20 , 4 , month
212320.212 , 2888.778 , q5 , 20 , 5 , month
250525.772 , 2228.478 , q5 , 20 , 6 , month
302003.006 , 3860.947 , q5 , 20 , 7 , month
344691.055 , 3535.797 , q5 , 20 , 8 , month
394248.891 , 4435.461 , q5 , 20 , 9 , month
436378.19 , 3270.007 , q5 , 20 , 10 , month
53672.888 , 713.698 , q5 , 30 , 1 , month
119089.45 , 570.75 , q5 , 30 , 2 , month
181021.544 , 987.206 , q5 , 30 , 3 , month
249975.642 , 2838.964 , q5 , 30 , 4 , month
314533.151 , 2354.292 , q5 , 30 , 5 , month
378273.442 , 2582.37 , q5 , 30 , 6 , month
446672.335 , 3103.422 , q5 , 30 , 7 , month
506386.368 , 5884.451 , q5 , 30 , 8 , month
592795.116 , 5025.197 , q5 , 30 , 9 , month
663868.878 , 11306.505 , q5 , 30 , 10 , month
71510.909 , 409.51 , q5 , 40 , 1 , month
158159.806 , 1743.239 , q5 , 40 , 2 , month
242872.711 , 1841.502 , q5 , 40 , 3 , month
328311.263 , 1660.54 , q5 , 40 , 4 , month
408916.768 , 3658.419 , q5 , 40 , 5 , month
497661.911 , 4646.446 , q5 , 40 , 6 , month
595095.123 , 3833.192 , q5 , 40 , 7 , month
671669.672 , 4242.302 , q5 , 40 , 8 , month
785942.1 , 8471.819 , q5 , 40 , 9 , month
875460.304 , 4652.77 , q5 , 40 , 10 , month
87309.754 , 644.004 , q5 , 50 , 1 , month
194062.443 , 1196.678 , q5 , 50 , 2 , month
299606.928 , 3450.815 , q5 , 50 , 3 , month
407832.75 , 3363.323 , q5 , 50 , 4 , month
520642.135 , 5030.692 , q5 , 50 , 5 , month
628239.058 , 5133.391 , q5 , 50 , 6 , month
743455.028 , 8521.72 , q5 , 50 , 7 , month
866255.547 , 10257.209 , q5 , 50 , 8 , month
970470.814 , 4860.066 , q5 , 50 , 9 , month
1086864.852 , 3173.905 , q5 , 50 , 10 , month
103336.31 , 1601.501 , q5 , 60 , 1 , month
233736.953 , 2996.556 , q5 , 60 , 2 , month
361166.427 , 4143.002 , q5 , 60 , 3 , month
491124.405 , 4680.091 , q5 , 60 , 4 , month
624413.614 , 8612.813 , q5 , 60 , 5 , month
752271.975 , 5262.207 , q5 , 60 , 6 , month
887314.141 , 14186.817 , q5 , 60 , 7 , month
1027620.025 , 4255.885 , q5 , 60 , 8 , month
1169377.485 , 5942.941 , q5 , 60 , 9 , month
1310021.537 , 10717.686 , q5 , 60 , 10 , month
123570.619 , 1111.719 , q5 , 70 , 1 , month
271596.098 , 2622.458 , q5 , 70 , 2 , month
421358.062 , 4425.44 , q5 , 70 , 3 , month
577663.949 , 4676.71 , q5 , 70 , 4 , month
730533.355 , 6895.606 , q5 , 70 , 5 , month
886550.784 , 5063.689 , q5 , 70 , 6 , month
1035436.961 , 3654.212 , q5 , 70 , 7 , month
1196044.781 , 7262.005 , q5 , 70 , 8 , month
1338418.022 , 9854.725 , q5 , 70 , 9 , month
1536757.204 , 12027.055 , q5 , 70 , 10 , month
138119.566 , 1448.365 , q5 , 80 , 1 , month
309132.198 , 2692.098 , q5 , 80 , 2 , month
477255.643 , 4070.265 , q5 , 80 , 3 , month
645397.023 , 6390.836 , q5 , 80 , 4 , month
831978.435 , 5012.671 , q5 , 80 , 5 , month
